date,state,state_abb,cat_tax,cat_str,rev,year,quarter
Q3-2012,Alabama,AL,T14,T14 Pari-Mutuels Sales Tax,0,2012,3
Q3-2012,Alabama,AL,T15,T15 Public Utilities Sales Tax,194,2012,3
Q3-2012,Alabama,AL,T16,T16 Tobacco Products Sales Tax,34,2012,3
Q3-2012,Alabama,AL,T19,T19 Other Selective Sales and Gross Receipts Taxes,79,2012,3
Q3-2012,Alabama,AL,T20,T20 Alcoholic Beverages License,0,2012,3
Q3-2012,Alabama,AL,T22,T22 Corporations In General License,10,2012,3
Q3-2012,Alabama,AL,T23,T23 Hunting and Fishing License,5,2012,3
Q3-2012,Alabama,AL,T24,T24 Motor Vehicles License,47,2012,3
Q3-2012,Alabama,AL,T25,T25 Motor Vehicle Operators License,6,2012,3
Q3-2012,Alabama,AL,T27,T27 Public Utilities License,3,2012,3
Q3-2012,Alabama,AL,T28,"T28 Occupation and Business License, Not Elsewhere Classified",27,2012,3
Q3-2012,Alabama,AL,T29,T29 Other License Taxes,0,2012,3
Q3-2012,Alabama,AL,T40,T40 Individual Income Taxes,743,2012,3
Q3-2012,Alabama,AL,T41,T41 Corporation Net Income Taxes,76,2012,3
Q3-2012,Alabama,AL,T50,T50 Death and Gift Taxes,0,2012,3
Q3-2012,Alabama,AL,T51,T51 Documentary and Stock Transfer Taxes,10,2012,3
Q3-2012,Alabama,AL,T53,T53 Severance Taxes,26,2012,3
Q3-2012,Alabama,AL,TOTAL,Total Taxes,2134,2012,3
Q4-2012,Alabama,AL,T01,T01 Property Taxes,121,2012,4
Q4-2012,Alabama,AL,T09,T09 General Sales and Gross Receipts Taxes,581,2012,4
Q4-2012,Alabama,AL,T10,T10 Alcoholic Beverages Sales Tax,46,2012,4
Q4-2012,Alabama,AL,T11,T11 Amusements Sales Tax,0,2012,4
Q4-2012,Alabama,AL,T12,T12 Insurance Premiums Sales Tax,61,2012,4
Q4-2012,Alabama,AL,T13,T13 Motor Fuels Sales Tax,133,2012,4
